a	a	interj	pospolita
a	a	qub	pospolita
a	a	qub	pospolita
a	a	conj	pospolita
a	a	prep:nom	pospolita
b	b	prep:nom	pospolita
c	c	prep:nom	pospolita
bc	BC	interj	pospolita
aaronowe	aaronowy	adj:sg:acc:n1.n2:pos	pospolita
aaronowe	aaronowy	adj:sg:nom.voc:n1.n2:pos	pospolita
aaronowego	aaronowy	adj:sg:acc:m1.m2:pos	pospolita
aaronowego	aaronowy	adj:sg:gen:m1.m2.m3.n1.n2:pos	pospolita
aaronowej	aaronowy	adj:sg:dat:f:pos	pospolita
aaronowej	aaronowy	adj:sg:gen:f:pos	pospolita
aaronowej	aaronowy	adj:sg:loc:f:pos	pospolita
aaronowemu	aaronowy	adj:sg:dat:m1.m2.m3.n1.n2:pos	pospolita
aaronowi	aaronowy	adj:pl:nom.voc:m1.p1:pos	pospolita
aaronowo	aaronowy	adja	pospolita
aaronowy	aaronowy	adj:sg:acc:m3:pos	pospolita
aaronowy	aaronowy	adj:sg:nom.voc:m1.m2.m3:pos	pospolita
aaronowych	aaronowy	adj:pl:acc:m1.p1:pos	pospolita
aaronowych	aaronowy	adj:pl:gen:m1.m2.m3.f.n1.n2.p1.p2.p3:pos	pospolita
aaronowych	aaronowy	adj:pl:loc:m1.m2.m3.f.n1.n2.p1.p2.p3:pos	pospolita
aaronowym	aaronowy	adj:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:pos	pospolita
aaronowym	aaronowy	adj:sg:inst:m1.m2.m3.n1.n2:pos	pospolita
aaronowym	aaronowy	adj:sg:loc:m1.m2.m3.n1.n2:pos	pospolita
aaronowymi	aaronowy	adj:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:pos	pospolita
aaronowa	aaronowy	adj:sg:nom.voc:f:pos	pospolita
aaronową	aaronowy	adj:sg:acc:f:pos	pospolita
aaronową	aaronowy	adj:sg:inst:f:pos	pospolita
aaronowe	aaronowy	adj:pl:acc:m2.m3.f.n1.n2.p2.p3:pos	pospolita
aaronowe	aaronowy	adj:pl:nom.voc:m2.m3.f.n1.n2.p2.p3:pos	pospolita
abadance	abadanka	subst:sg:dat:f	pospolita
abadance	abadanka	subst:sg:loc:f	pospolita
abadanek	abadanka	subst:pl:gen:f	pospolita
abadanka	abadanka	subst:sg:nom:f	pospolita
abadankach	abadanka	subst:pl:loc:f	pospolita
abadankami	abadanka	subst:pl:inst:f	pospolita
abadanką	abadanka	subst:sg:inst:f	pospolita
abadankę	abadanka	subst:sg:acc:f	pospolita
abadanki	abadanka	subst:pl:acc:f	pospolita
abadanki	abadanka	subst:pl:nom:f	pospolita
abadanki	abadanka	subst:pl:voc:f	pospolita
abadanki	abadanka	subst:sg:gen:f	pospolita
abadanko	abadanka	subst:sg:voc:f	pospolita
abadankom	abadanka	subst:pl:dat:f	pospolita
abadańczycy	abadańczyk	subst:pl:nom:m1	pospolita
abadańczycy	abadańczyk	subst:pl:voc:m1	pospolita
abadańczyk	abadańczyk	subst:sg:nom:m1	pospolita
abadańczyka	abadańczyk	subst:sg:acc:m1	pospolita
abadańczyka	abadańczyk	subst:sg:gen:m1	pospolita
abadańczykach	abadańczyk	subst:pl:loc:m1	pospolita
abadańczykami	abadańczyk	subst:pl:inst:m1	pospolita
abadańczyki	abadańczyk	depr:pl:nom:m2	pospolita
